Gaia DR3 ID,Teff,Teff pe,Teff me,Radius,Rad pe,Rad me,Metalicity,Metal pe,Metal me
2132614922197436928,5549.2686,18.7154,7.626,1.5448813,0.0410355,0.0454208,-0.4406,0.0292,0.0151
2132709613336959744,,,,,,,,,
2132768956905956352,,,,0.76150346,0.016801,0.01678516,,,
2133021810218800384,,,,0.8395289,0.0199047,0.02181737,,,
2133022669212268800,,,,1.0454851,0.0246401,0.0253586,,,
2133035966431029376,5472.315,19.348,16.9654,0.89884526,0.02578324,0.02674776,-0.2623,0.0233,0.0226
2133124511477266176,,,,1.3472136,0.0321801,0.0360686,,,
2133369840008452224,,,,0.78969175,0.0176866,0.01763975,,,
2133611659549905024,,,,1.3620528,0.029695,0.0287037,,,
2133946843094378752,5454.4395,12.7529,19.9715,0.8654531,0.01788666,0.01818017,0.0113,0.014,0.0243
2134719834131370496,,,,1.2611322,0.1024483,0.0845958,,,
2134798444914611712,,,,1.6869624,0.0358022,0.0365206,,,
2134850847813263360,5595.028,23.6824,14.2096,1.2415483,0.0278237,0.0280098,-0.1012,0.0205,0.014
2134931077802625792,5226.7725,31.0839,28.4525,0.841996,0.02575655,0.02771776,-0.4498,0.0319,0.0302
2135002576119495936,,,,1.4786961,0.0306122,0.0307875,,,
2135019107451751168,,,,1.6264993,0.0364698,0.0358317,,,
2135044568018500096,,,,1.4803122,0.0320344,0.0324583,,,
2135055391335687680,,,,,,,,,
2135179533070399232,,,,1.1987728,0.0243565,0.0243883,,,
2135203000771400320,,,,1.1842135,0.0328204,0.0292237,,,
2135314184585149696,,,,1.2901001,0.0261996,0.0261406,,,
2135378231142791808,,,,1.0433252,0.0252256,0.0281702,,,
2135427576021495168,,,,0.72274303,0.01653034,0.01656853,,,
2135590578620605568,,,,1.6744102,0.0362686,0.0356412,,,
2136815881249993600,5827.4766,15.3724,10.9502,1.0590172,0.0214799,0.0214479,0.0953,0.0143,0.0107
2139300262131379584,5599.9014,9.1626,3.3189,0.9570625,0.01970736,0.0195609,-0.1969,0.0116,0.0065
2141754578242371584,6084.4478,4.3742,2.3545,1.7216668,0.0352688,0.0352087,-0.0741,0.0062,0.0051
2143749504651818368,,,,1.0449014,0.0213734,0.0218525,,,
2188906825165621120,7426.445,1.3206,1.4435,1.9606391,0.0395562,0.0395807,-0.1975,0.0108,0.0101
2221164434736927360,5315.492,8.7473,8.8284,0.93921584,0.01927709,0.01928064,0.1803,0.0096,0.01
2242756094328104576,,,,,,,,,
2254929887069708160,5802.538,1.3155,1.2997,1.6899458,0.0344197,0.0348191,0.2933,0.0018,0.0017
2296342614570999552,5768.8984,2.0116,1.2694,1.5629057,0.0318776,0.031833,-0.0769,0.0042,0.0041
2300641567596591488,4998.011,9.4973,1.876,0.7957311,0.0168732,0.0168784,-0.2142,0.0266,0.0068
2303332931542914048,5933.392,8.3053,13.47,1.5105699,0.0307563,0.0307831,0.2851,0.0061,0.0145
2318295979126499200,,,,,,,,,
2329387852426700800,,,,,,,,,
2333676738050041728,,,,,,,,,
2340919358581488768,5749.773,2.368,1.723,1.4497368,0.0307473,0.0311869,0.0435,0.0055,0.0054
2371032916186181760,,,,,,,,,
