KOI,Host KOI,Kepler name,Host Gaia DR3 ID,P,P pme,PSR,PSR pme
K00510.03,KOI-510,Kepler-172 d,2104506319750394624       ,14.626986,0.00002,0.020554,0.0012888
K00510.04,KOI-510,Kepler-172 e,2104506319750394624       ,35.118523,0.00002,0.0247668,0.0021263
K00313.01,KOI-313,Kepler-137 c,2104847370214740352       ,18.735746,0.000016,0.0243271,0.0003979
K00313.02,KOI-313,Kepler-137 b,2104847370214740352       ,8.436393,0.00001,0.0172864,0.0002633
K00092.01,KOI-92,KOI-92.01,2105135854577044480       ,65.704594,0.000018,0.026343,0.0005619
K00316.01,KOI-316,Kepler-139 b,2105362903731391744       ,15.771129,0.000014,0.0211049,0.000248
K00316.03,KOI-316,KOI-316.03,2105362903731391744       ,7.305705,0.000008,0.0176958,0.000488
K00416.01,KOI-416,Kepler-152 b,2105435544515167232       ,18.207957,0.000015,0.0382589,0.0005863
K00416.02,KOI-416,Kepler-152 c,2105435544515167232       ,88.255355,0.000019,0.0355083,0.0011641
K02051.01,KOI-2051,Kepler-355 c,2105535462635217792       ,25.762459,0.00002,0.0230446,0.0009506
K02051.02,KOI-2051,Kepler-355 b,2105535462635217792       ,11.031732,0.000021,0.0124512,0.0012562
K00568.01,KOI-568,Kepler-605 b,2105618029085927680       ,3.38354,0.000005,0.0165614,0.0005992
K00269.01,KOI-269,KOI-269.01,2105620159389754624       ,18.011664,0.000015,0.0097364,0.0003862
K00518.01,KOI-518,Kepler-174 b,2106008493152187392       ,13.981783,0.000012,0.0287249,0.0005544
K00518.02,KOI-518,Kepler-174 c,2106008493152187392       ,44.000432,0.000019,0.022377,0.0005025
K02414.01,KOI-2414,Kepler-384 b,2106306495162679552       ,22.596597,0.00002,0.011575,0.0005797
K02414.02,KOI-2414,Kepler-384 c,2106306495162679552       ,45.348527,0.00002,0.0157402,0.0012032
K00245.01,KOI-245,Kepler-37 d,2106674071344722688       ,39.792232,0.000009,0.0230382,0.0003205
K00122.01,KOI-122,Kepler-95 b,2106705269988803072       ,11.523073,0.000005,0.0204782,0.0002128
