source_id,teff_gspphot,teff_gspphot_lower,teff_gspphot_upper,mh_gspphot,mh_gspphot_lower,mh_gspphot_upper,target_id,target_ra,target_dec,target_parallax,target_pm_ra,target_pm_dec,target_radial_velocity,epoch,target_separation (deg)
2073731161099713408,5739.3975,5715.103,5750.5874,0.0159,-0.0096,0.0264,Gaia DR3 2073731161099713408,297.0698323520349,40.52520571016794,8.1211,32.9212,13.543,-47.6695,2016,4.3207830068046636E-14
2073804411752924288,,,,,,,Gaia DR3 2073804411752924288,298.5891951,40.750691858164174,1.7353,1.4717,-1.4987,-46.4366,2016,0
2075112109039378688,5068.2783,5061.7856,5075.9214,0.1398,0.1311,0.1487,Gaia DR3 2075112109039378688,299.13931178730104,40.94893620015961,3.2283,13.215,-20.4097,-13.3448,2016,0
2075161655782111872,5248.539,5234.149,5259.245,0.1059,0.0942,0.1158,Gaia DR3 2075161655782111872,299.3196740288222,41.384747214814375,4.0579,17.3574,18.7323,-22.3826,2016,7.105427357601002E-15
2076121602454770560,5654.674,5641.18,5723.923,0.0103,-0.006,0.0819,Gaia DR3 2076121602454770560,299.7047427308612,44.43570524730192,2.5172,-3.1529,-10.4798,-18.4257,2016,0
2076185408488670208,5454.9424,5434.3066,5473.4,-0.0029,-0.0278,0.0208,Gaia DR3 2076185408488670208,295.1640101754076,39.201402144681865,1.1612,4.0661,-1.7434,0,2016,0
2076328963475704576,4555.349,4550.57,4563.451,0.4872,0.4711,0.501,Gaia DR3 2076328963475704576,296.1125756515733,39.97874410987316,2.6675,-1.3733,-7.2066,-3.5284,2016,0
2076454445237794432,4690.752,4681.09,4701.0947,-0.0144,-0.0265,-0.0013,Gaia DR3 2076454445237794432,294.66467792374954,39.7838468,2.0137,-5.3711,4.6869,11.506,2016,4.4256237777693905E-14
2076565805151925760,4685.2856,4651.451,4699.2886,0.1583,0.0931,0.1815,Gaia DR3 2076565805151925760,294.4418028422783,40.55754031496123,2.2497,-1.123,-3.3769,-26.8137,2016,0
2076601917234347520,5575.019,5555.749,5594.6196,-0.6572,-0.6779,-0.6378,Gaia DR3 2076601917234347520,295.2173270943838,40.592156611365546,1.068,3.0824,-11.876,12.2672,2016,0
2076692386427776768,5521.203,5499.4497,5538.595,-0.2153,-0.2364,-0.1969,Gaia DR3 2076692386427776768,295.28723274149723,41.22200472310721,1.0986,5.3739,10.1036,0,2016,0
2076764576237957504,4545.8384,4537.4214,4553.279,0.2011,0.1859,0.217,Gaia DR3 2076764576237957504,297.07020512138837,40.86873212640164,2.6777,7.59,-13.3446,1.4141,2016,0
2076782889978499840,4985.614,4921.9507,5014.559,0.0566,-0.0397,0.0922,Gaia DR3 2076782889978499840,296.8609319849194,41.09731523,2.4655,-15.4493,-18.6839,-43.7515,2016,0
2076792648144511104,5813.4683,5805.508,5823.9966,-0.2673,-0.2742,-0.2586,Gaia DR3 2076792648144511104,297.0899587167322,41.388069154379686,1.3958,-1.5958,3.9332,-29.0081,2016,0
2076871091425583232,4697.2563,4681.005,4706.0347,0.3182,0.3001,0.33,Gaia DR3 2076871091425583232,297.3539996494398,41.300044739930854,4.8014,1.5041,-3.3316,-25.3569,2016,0
2076955822541823744,5427.938,5414.346,5440.7812,-0.1136,-0.1271,-0.1009,Gaia DR3 2076955822541823744,296.7719087826088,41.755597134260654,1.1589,2.9493,9.9742,0,2016,0
2076960598545789824,5522.061,5481.913,5582.274,-0.387,-0.4278,-0.3233,Gaia DR3 2076960598545789824,297.1150948896979,41.90910820038663,1.5476,0.1058,-7.1026,-58.7884,2016,7.105427357601002E-15
2076970047474270208,6022.8604,6012.137,6033.2617,-0.1723,-0.1821,-0.1621,Gaia DR3 2076970047474270208,297.33307198708445,41.89111872,2.1069,2.0633,1.3368,-18.9105,2016,4.2907511227313006E-14
2077140987172577408,5000.155,4969.011,5029.082,-0.3437,-0.3769,-0.3136,Gaia DR3 2077140987172577408,295.76619923392514,42.42428190294317,0.9199,7.142,-2.1757,0,2016,4.196007839351286E-14
2077540827141811200,5307.0483,5293.448,5319.381,0.3496,0.3378,0.3595,Gaia DR3 2077540827141811200,294.6741519737311,42.07560443416187,3.7266,6.8382,5.6128,-21.0607,2016,0
2077556465126659456,5708.659,5682.56,5734.648,0.0381,0.0131,0.0628,Gaia DR3 2077556465126659456,294.2809672887076,42.29092909934029,0.5455,-3.127,-3.0854,0,2016,0
2077598384004774912,5838.3506,5836.0947,5841.5664,-0.4273,-0.4356,-0.4169,Gaia DR3 2077598384004774912,293.1802896091382,41.61774019118519,1.2698,-4.1167,-3.9984,20.4838,2016,0
2077726678964445696,,,,,,,Gaia DR3 2077726678964445696,293.56636962296346,42.13258072163217,0,0,0,0,2016,7.105427357601002E-15
2077750803804146176,6218.183,6136.3076,6260.368,-0.0032,-0.0643,0.0271,Gaia DR3 2077750803804146176,293.8901979518071,42.52794003154197,1.2861,0.351,-8.794,-5.3476,2016,0
2077961463362645632,4978.7593,4959.043,4997.15,-0.0179,-0.0387,0.0022,Gaia DR3 2077961463362645632,294.90967283501766,42.93519730366907,1.0831,-5.4252,-10.0291,0,2016,0
2077994272606400512,5355.9414,5339.0703,5371.156,-0.0988,-0.1147,-0.0831,Gaia DR3 2077994272606400512,295.57423163367633,42.80642512218651,3.561,8.6866,-2.4888,-4.6634,2016,4.1703382729356886E-14
2078000289864478976,4561.1143,4542.76,4580.179,0.0982,0.0488,0.1406,Gaia DR3 2078000289864478976,295.82546479917806,42.94337104374665,1.6449,-7.6195,-4.056,0,2016,4.2213237979368594E-14
2078195212660287616,5262.055,5238.061,5307.1562,-0.3927,-0.4292,-0.3483,Gaia DR3 2078195212660287616,294.3169295007358,43.62924127926852,0.7011,-6.2667,-16.4285,0,2016,7.105427357601002E-15
2078272831307891456,6070.8984,6050.36,6092.9214,-0.1477,-0.1637,-0.1318,Gaia DR3 2078272831307891456,294.74205999574855,43.536783554851084,1.038,-2.6158,-4.9096,-10.2232,2016,0
2078286197246582016,4969.92,4954.9443,4984.3164,0.1019,0.0825,0.119,Gaia DR3 2078286197246582016,294.6678991900493,43.85320856910302,1.9091,-15.0071,-13.0052,-2.6708,2016,7.105427357601002E-15
2078515170549178880,5858.996,5843.7666,5875.907,-0.3678,-0.3801,-0.3556,Gaia DR3 2078515170549178880,297.4653359712291,42.88285161862764,1.3763,4.815,-0.1903,-18.2112,2016,7.105427357601002E-15
