KOI,Host KOI,Kepler name,Host Gaia DR3 ID,PSR,PSR pe,PSR me
K00351.05,KOI-351,Kepler-90 c,2132193431285570304,0.011168,0.000534,0.000317
K00351.06,KOI-351,Kepler-90 b,2132193431285570304,0.010032,0.00046,0.000383
K00295.02,KOI-295,Kepler-134 c,2132215421518219392,0.009753,0.000325,0.000348
K00295.01,KOI-295,Kepler-134 b,2132215421518219392,0.015421,0.000317,0.000159
K00296.01,KOI-296,Kepler-513 b,2132325200882204544,0.01929,0.000562,0.000305
K01883.01,KOI-1883,Kepler-997 b,2132709613336959744,0.00791,0.00022,0.000103
K01781.02,KOI-1781,Kepler-411 A b,2132768956905956352,0.023155,0.000724,0.000184
K01832.03,KOI-1832,Kepler-325 d,2133021810218800384,0.028052,0.004525,0.001083
K01832.02,KOI-1832,Kepler-325 c,2133021810218800384,0.0311,0.001046,0.00659
K01832.01,KOI-1832,Kepler-325 b,2133021810218800384,0.027448,0.000761,0.000318
K00435.06,KOI-435,Kepler-154 f,2133022669212268800,0.013894,0.002946,0.001689
K00435.04,KOI-435,Kepler-154 e,2133022669212268800,0.014249,0.000315,0.000612
K00435.05,KOI-435,Kepler-154 c,2133022669212268800,0.030064,0.002389,0.002454
K00435.03,KOI-435,Kepler-154 b,2133022669212268800,0.021685,0.000878,0.00076
K02218.02,KOI-2218,Kepler-373 c,2133124511477266176,0.012536,0.00099,0.000738
K02218.01,KOI-2218,Kepler-373 b,2133124511477266176,0.015052,0.000441,0.000536
K00153.01,KOI-153,Kepler-113 c,2133369840008452224,0.032747,9.00E-06,0.003893
K00153.02,KOI-153,Kepler-113 b,2133369840008452224,0.024604,0.000515,0.000393
K00297.01,KOI-297,Kepler-514 A b,2133611659549905024,0.010764,0.000283,0.000127
K00112.02,KOI-112,Kepler-466 c,2134719834131370496,0.010549,0.00029,0.000189
K00112.01,KOI-112,Kepler-466 b,2134719834131370496,0.02468,0.000418,0.000163
K00107.01,KOI-107,Kepler-464 b,2134798444914611712,0.019494,0.000282,0.000105
K02110.01,KOI-2110,Kepler-1104 b,2135002576119495936,0.008187,0.000292,0.000194
K00168.02,KOI-168,Kepler-23 d,2135019107451751168,0.013502,0.000338,0.000262
K00167.01,KOI-167,Kepler-480 b,2135044568018500096,0.019091,0.000146,0.000263
K00623.02,KOI-623,Kepler-197 A d,2135179533070399232,0.009372,0.000273,0.000173
K00623.01,KOI-623,Kepler-197 A c,2135179533070399232,0.010287,0.000251,0.000189
K00623.03,KOI-623,Kepler-197 A b,2135179533070399232,0.008752,0.000271,0.00011
K02433.07,KOI-2433,,2135203000771400320,0.019482,0.001229,0.001024
K02433.06,KOI-2433,,2135203000771400320,0.013024,0.000829,0.000479
