KOI,rs_f18,e_rs_f18,E_rs_f18,ms_f18,e_ms_f18,E_ms_f18,teff_f18,e_teff_f18,E_teff_f18,FeH_f18,FeH_err_f18,Ksmag_f18,rs_v18,e_rs_v18,E_rs_v18,ms_v18,e_ms_v18,E_ms_v18,teff_v18,e_teff_v18,E_teff_v18,FeH_v18,FeH_err_v18,Ksmag_v18,age,e_age,E_age,RCF,rhos,rhos_err,u0,u0_err,u1,u1_err 
K02339.01,0.673,0.021,0.021,0.762,0.014,0.011,4762,60,60,0.17,0.04,12.814,0,0,0,0,0,0,0,0,0,0,0,0,1.288,1.453,1.572,1,2.1906897,0.0663126,0.681378,0.1761719,0.1866924,0.137853
K02390.01,2.672,0.111,0.115,1.454,0.018,0.051,6003,60,60,0.14,0.04,10.809,2.68,0.25,0.25,1.38,0.5,0.5,6056,165,165,-0.17,0.3,12.249,2.818,0.13,0.26,1.0007,0.0804151,0.0051044,0.4109021,0.182475,0.2753234,0.1582752
K02414.01,1.617,0.041,0.042,0.882,0.014,0.015,5541,60,60,-0.29,0.04,12.038,0,0,0,0,0,0,0,0,0,0,0,0,12.882,0.593,0.593,1,0.2106578,0.0095418,0.4932843,0.172786,0.275541,0.1689715
K02433.01,1.09,0.048,0.051,0.992,0.032,0.034,5837,60,60,0.01,0.04,13.819,0,0,0,0,0,0,0,0,0,0,0,0,6.026,1.526,2.22,1,0.7048456,0.0641695,0.3137489,0.1395433,0.2283354,0.1455262
K02462.01,1.708,0.042,0.043,1.228,0.084,0.033,5975,60,60,0.09,0.04,10.373,1.71,0.04,0.04,1.19,0.1,0.1,6007,120,120,0.05,0.15,11.821,4.467,1.234,0.617,1.0004,0.2608097,0.0149263,0.3085643,0.1653696,0.213381,0.1439244
K02533.01,3.009,0.086,0.09,1.28,0.092,0.068,5005,60,60,0.03,0.04,11.242,0,0,0,0,0,0,0,0,0,0,0,0,4.365,1.106,0.804,1,0.065216,0.0046422,0.6025229,0.1676133,0.2044946,0.1394337
K02545.01,2.157,0.058,0.06,1.487,0.047,0.034,6198,60,60,0.17,0.04,10.454,2.16,0.04,0.04,1.38,0.07,0.07,6131,75,75,0.13,0.1,11.752,2.344,0.378,0.27,1,0.1498861,0.0106696,0.4061583,0.178807,0.3008801,0.1739173
K02595.01,1.5,0.038,0.039,1.256,0.021,0.023,6330,60,60,0.05,0.04,11.995,0,0,0,0,0,0,0,0,0,0,0,0,2.818,0.324,0.324,1,0.3818447,0.0148105,0.3522546,0.1706399,0.2653748,0.1603528
K02597.01,0.993,0.035,0.036,0.87,0.027,0.03,5871,60,60,-0.3,0.04,13.384,0,0,0,0,0,0,0,0,0,0,0,0,8.913,1.847,2.257,1,0.936441,0.0732099,0.3712103,0.1694517,0.279085,0.1591762
K02632.01,2.201,0.053,0.054,1.414,0.108,0.039,6238,60,60,-0.02,0.04,10.149,2.16,0.07,0.07,1.37,0.17,0.17,6467,173,173,-0.1,0.3,11.392,2.692,0.682,0.372,1,0.1305253,0.01024,0.4787736,0.1800976,0.322592,0.1793651
K02639.01,1.772,0.121,0.135,1.016,0.036,0.039,5583,60,60,-0.02,0.04,14.017,0,0,0,0,0,0,0,0,0,0,0,0,9.333,1.074,1.289,1,0.1995101,0.0300788,0.506104,0.1869496,0.2699104,0.16255
K02678.01,0.787,0.018,0.019,0.894,0.01,0.008,5416,60,60,0.12,0.04,10.088,0,0,0,0,0,0,0,0,0,0,0,0,0.851,0.49,1.039,1,1.7125773,0.0250753,0.4591708,0.1209754,0.2001515,0.118358
K02706.01,1.93,0.042,0.044,1.429,0.021,0.028,6337,60,60,0.11,0.04,9.109,1.86,0.08,0.08,1.26,0.18,0.18,6491,69,69,-0.2,0.3,10.268,2.344,0.162,0.216,1.0029,0.2000112,0.0101375,0.3476341,0.1343761,0.2541803,0.1407017
K03097.01,1.604,0.036,0.037,1.101,0.028,0.078,5976,60,60,-0.01,0.04,10.649,0,0,0,0,0,0,0,0,0,0,0,0,6.31,0.581,1.598,1,0.2711351,0.0146968,0.4327468,0.1841143,0.2892212,0.1673722
K03165.01,1.814,0.037,0.038,1.167,0.025,0.105,6267,60,60,-0.17,0.04,9.191,0,0,0,0,0,0,0,0,0,0,0,0,4.571,0.316,1.473,1,0.1903892,0.0149416,0.3875105,0.1821661,0.2840718,0.1586256
K03168.01,1.594,0.037,0.038,0.991,0.019,0.021,5803,60,60,-0.14,0.04,9.033,1.55,0.07,0.07,1.03,0.16,0.16,5968,59,59,-0.2,0.3,10.455,9.12,0.63,0.63,1.0037,0.2501843,0.0105256,0.4259626,0.1838627,0.2776045,0.1651251
K03197.01,1.097,0.025,0.025,1.102,0.039,0.026,6187,60,60,-0.06,0.04,10.253,0,0,0,0,0,0,0,0,0,0,0,0,1.622,0.896,1.419,1,0.8487192,0.0437897,0.4065326,0.2025504,0.3146985,0.1791974
