designation,teff_gspphot,teff_gspphot_lower,teff_gspphot_upper,mh_gspphot,mh_gspphot_lower,mh_gspphot_upper,target_id,target_ra,target_dec,target_parallax,target_pm_ra,target_pm_dec,target_radial_velocity,epoch,target_separation (deg)
Gaia DR3 2127398083121764736,5455.224,27.9716,17.043,0.036,0.0314,0.0189,Gaia DR3 2127398083121764736,290.9734395288398,45.290275199962146,1.259,-0.0284,-6.1367,0,2016,7.105427357601002E-15
Gaia DR3 2127771917075703424,5711.4834,2.3169,4.0181,0.1411,0.0059,0.0077,Gaia DR3 2127771917075703424,288.7389478123928,46.762593323109364,1.2577,-1.3072,2.816,-14.1291,2016,7.105427357601002E-15
Gaia DR3 2127798442794047104,5477.701,19.8587,69.098,-0.2458,0.0207,0.0638,Gaia DR3 2127798442794047104,288.8392764957853,46.98674714043934,1.6741,-7.2656,-0.2119,-24.432,2016,1.4210854715202004E-14
Gaia DR3 2127851116271982848,5560.683,3.2284,5.1983,-0.3348,0.005,0.0057,Gaia DR3 2127851116271982848,290.0605131290579,47.163953554745184,1.4181,3.8594,2.3375,-64.1202,2016,0
Gaia DR3 2128067720065692672,6162.4775,73.853,109.3389,-0.1631,0.0614,0.0701,Gaia DR3 2128067720065692672,293.7280684793719,46.12911300751494,0.8455,-4.908,-6.0195,5.935,2016,0
Gaia DR3 2128098197152438144,4974.268,9.535,9.6763,0.0531,0.0116,0.0118,Gaia DR3 2128098197152438144,294.3255908387434,46.00226535924586,2.0905,5.2139,5.7622,-16.2402,2016,7.105427357601002E-15
Gaia DR3 2128298617506651904,6159.9136,15.2796,15.9179,-0.0826,0.0133,0.0137,Gaia DR3 2128298617506651904,292.6780477136592,46.726680279251546,1.2709,-5.2263,-6.875,-26.7991,2016,7.105427357601002E-15
Gaia DR3 2128504397979254528,5087.5884,9.0747,8.5086,-0.4494,0.0195,0.0184,Gaia DR3 2128504397979254528,292.3760929,47.880958423460314,0.9948,-6.2761,-8.1052,0,2016,0
Gaia DR3 2128724678262662144,5723.5176,5.7316,34.0034,-0.1013,0.0064,0.0323,Gaia DR3 2128724678262662144,295.1190095197763,48.48136579388148,1.7886,13.4124,16.4079,-49.2708,2016,3.767943296260501E-14
Gaia DR3 2128911251641171200,5453.9604,15.9084,13.4,-0.0919,0.0165,0.0152,Gaia DR3 2128911251641171200,293.3517005518855,48.444591129531524,1.5831,-2.0665,-7.4716,-19.9932,2016,3.7706742477075633E-14
