ID	Teff	Teff-pe	Teff-err-new	FeH	FeH-pe	FeH-err-new	Logg	Logg-pe	Logg-err-new	Parallax	Parallax-e	G-Mag	G-Mag-Err	G-Mag-err-new	RA	DEC
5723638723350902400	5557.1006	57.15215	116.92035	-0.0613	0.066	0.145794376	4.4002	0.0105	0.04	6.589681839218832	0.014058043	10.664142	0.00275771	0.5	126.43374166146126	-13.55953896
5746824674801810816	4462.219	3.62625	102.0644389	0.0619	0.02815	0.133012866	4.5808	0.00375	0.04	31.68366846	0.015168027	9.277452	0.002764959	0.5	129.68829349261745	-13.25652132
5751177095877066496	6307.54	9.24	102.4176625	0.0562	0.0071	0.13019374	4.1259	0.00535	0.04	2.835207038124173	0.015837284	10.900257	0.002761621	0.5	126.33782407746638	-11.50098892
5795534040654879744	5326.739	19.5641	103.8592991	0.2303	0.023	0.132018938	4.4467	0.00355	0.04	6.3846604509963765	0.013210568	11.0814705	0.002760705	0.5	227.65866390370456	-71.36163736
58200934326315136	5804.169	89.64785	135.7966753	-0.0315	0.0836	0.154560538	4.3368	0.04685	0.04685	5.672197859427257	0.014320245	10.86654	0.002757943	0.5	53.65112853813434	20.59901333282649
5880886001621564928	4506.4727	26.9152	105.4913645	0.2975	0.09845	0.163071771	4.5962	0.00895	0.04	15.67768735797491	0.012572469	10.761123	0.002762705	0.5	222.1654569689835	-57.5888878
5902750168276592256	5620.91	1.11255	102.0060673	-0.6025	0.01045	0.130419333	4.3504	0.00085	0.04	67.87379235698758	0.06005369	5.48217	0.002798924	0.5	230.43977568214885	-48.3188557
596931979481073152	5640.517	12.1852	102.7252603	0.111	0.0129	0.130638471	4.3519	0.0086	0.04	3.6805832180093256	0.020156324	11.744914	0.002779397	0.5	133.32429852119304	8.523017662194398
602494855483616256	4884.575	12.106	102.7158957	0.5973	0.01915	0.131402901	4.5187	0.01915	0.04	2.1296644913062335	0.023197759	14.262713	0.002766401	0.5	127.88291015367912	11.922254670917782
6032746832450438400	6242.985	4.6833	102.1074596	-0.3091	0.0037	0.130052643	4.295	0.00565	0.04	3.2981733428168143	0.029188238	11.466937	0.002787366	0.5	253.7688465687799	-28.71058441
6042793005779654656	6617.9907	12.6122	102.7767853	-0.5265	0.00905	0.130314629	4.1143	0.0152	0.04	2.525451279858611	0.025473014	11.383261	0.002781261	0.5	239.96224651050218	-28.06179546
6086712585429729536	6972.9062	12.2308	102.7306793	-0.1819	0.0113	0.130490191	3.908	0.01075	0.04	1.9236831026437988	0.022196447	11.0113	0.002762823	0.5	199.43373864507808	-47.23757471
6112606840179716096	5475.071	18.18635	103.6086064	0.1477	0.0219	0.131831749	4.3907	0.0056	0.04	5.757551832926821	0.01870746	10.974043	0.002765432	0.5	203.10602052407498	-42.47527344
